gpr82_human,oprd_human
mchr2_human,oprd_human
oprd_human,oprd_human
oprd_mouse,oprd_mouse
ssr4_human,oprk_human
pd2r2_human,pd2r2_human
ffar4_human,ox2r_human
gpr32_human,fpr2_human
c3ar_human,c5ar1_human
mrgx4_human,par2_human
oprk_human,oprk_human
oxer1_human,pd2r2_human
galr1_human,oprk_human
ssr2_human,oprk_human
ssr5_human,oprk_human
oprm_mouse,oprm_mouse
oprm_human,oprm_mouse
ssr1_human,oprk_human
v1ar_human,ox2r_human
galr3_human,oprk_human
galr2_human,oprk_human
gnrhr_human,apj_human
gp141_human,ccr7_human
npbw1_human,oprd_human
mchr1_human,oprk_human
v2r_human,mtr1b_human
gp142_human,5ht2a_human
oprx_human,oprx_human
ur2r_human,ccr5_human
kissr_human,oprk_human
trfr_human,oprx_human
v1br_human,ntr1_human
ssr3_human,oprk_human
opsd_bovin,opsd_bovin
opn3_human,opsd_bovin
opsd_human,opsd_human
opsg_human,opsd_human
opsr_human,opsd_human
opsb_human,opsd_human
lgr6_human,mtr1a_human
opn5_human,opsd_bovin
opn4_human,opsd_bovin
opsd_todpa,opsd_todpa
gpr84_human,ednrb_human
npy2r_human,ox1r_human
oxyr_human,ox1r_human
ox1r_human,ox1r_human
gpr78_human,drd2_human
gp150_human,cxcr4_human
npff2_human,ox1r_human
nk2r_human,nk1r_human
gp135_human,mtr1a_human
gp176_human,ox1r_human
npy5r_human,npy1r_human
prlhr_human,ox2r_human
pd2r_human,pe2r4_human
npsr1_human,5ht2c_human
gpr26_human,drd2_human
gpr52_human,gpr52_human
gpr21_human,gpr52_human
pkr2_human,npy1r_human
pkr1_human,npy1r_human
npy4r_human,npy1r_human
mtr1b_human,mtr1b_human
gasr_human,ox2r_human
cckar_human,ox1r_human
npy1r_human,npy1r_human
brs3_human,ednrb_human
gpr83_human,ox2r_human
ox2r_human,ox2r_human
gpr19_human,ox2r_human
qrfpr_human,ox2r_human
npff1_human,ox1r_human
nk1r_human,nk1r_human
nk3r_human,nk1r_human
gp151_human,agtr2_human
gp153_human,ox2r_human
mtr1l_human,mtr1a_human
npy6r_human,npy1r_human
p2ry6_human,p2ry1_human
p2y10_human,ptafr_human
oxgr1_human,p2ry1_human
gpr31_human,oprd_mouse
sucr1_human,sucr1_rat
sucr1_rat,sucr1_rat
gp174_human,p2ry1_human
cltr2_human,cltr2_human
cltr1_human,cltr1_human
gpr17_human,cltr2_human
mrgrd_human,c5ar1_human
gpr18_human,ccr7_human
mas_human,agtr1_human
psyr_human,ptafr_human
p2ry1_human,p2ry1_human
mrgx1_human,agtr1_human
lpar6_human,cltr1_human
q08bg4_danre,q08bg4_danre
q9wtk1_cavpo,q9wtk1_cavpo
mrgrf_human,c5ar1_human
p2y11_human,p2ry1_human
lpar4_human,oprk_human
p2ry4_human,p2ry1_human
mas1l_human,ccr9_human
hcar1_human,p2ry1_human
hcar2_human,p2ry1_human
p2ry2_human,p2ry1_human
gp132_human,par2_human
lpar5_human,cltr2_human
gpr4_human,ptafr_human
hcar3_human,p2ry1_human
gp171_human,p2y12_human
p2y13_human,p2y12_human
p2y14_human,p2y12_human
p2y12_human,p2y12_human
gpr87_human,p2y12_human
mrgx3_human,pd2r2_human
ptafr_human,ptafr_human
gp183_human,oprk_human
pf2r_human,ta2r_human
gpr34_human,ptafr_human
pe2r4_human,pe2r4_human
par3_human,par2_human
gpr55_human,oprk_human
gpr35_human,fpr2_human
mrgre_human,cxcr4_human
par4_human,par2_human
par2_human,par2_human
par1_human,par1_human
gpr20_human,par2_human
p2ry8_human,par2_human
ffar3_human,par1_human
gpr42_human,par1_human
mshr_human,s1pr1_human
acthr_human,s1pr1_human
mc3r_human,lpar1_human
mc4r_human,s1pr1_human
gpr12_human,lpar1_human
gpr6_human,s1pr1_human
pe2r3_human,pe2r3_human
ta2r_human,ta2r_human
gp119_human,5ht2a_human
s1pr2_human,s1pr1_human
s1pr1_human,s1pr1_human
s1pr4_human,s1pr1_human
s1pr3_human,s1pr1_human
s1pr5_human,s1pr1_human
fzd2_human,fzd4_human
fzd7_human,fzd4_human
fzd1_human,fzd4_human
fzd4_human,fzd4_human
fzd10_human,fzd4_human
fzd9_human,fzd4_human
fzd5_human,fzd4_human
fzd8_human,fzd4_human
fzd3_human,fzd4_human
fzd6_human,fzd4_human
smo_human,smo_human
smo_mouse,smo_mouse
us28_hcmva,us28_hcmva
gp149_human,s1pr1_human
g1sgd4_rabit,g1sgd4_rabit
q98sw5_xenla,q98sw5_xenla
q80km9_hcmv,q80km9_hcmv
or1a1_human,aa2ar_human
or1g1_human,ccr2_human
o2t11_human,c5ar1_human
