PDB	Name
5UIG	BRIL
5UEN	BRIL
5UNF	BRIL
5UNG	BRIL
5UNH	BRIL
5NDD	BRIL
5NDZ	BRIL
5NJ6	BRIL
5VEX	T4-Lysozyme
5UVI	BRIL
5V56	Flavodoxin
5V57	Flavodoxin
5VEW	T4-Lysozyme
5XEZ	T4-Lysozyme
5XF1	T4-Lysozyme
5JTB	BRIL
5VBL	Rubredoxin
5TZR	T4-Lysozyme
5TZY	T4-Lysozyme
5UIW	Rubredoxin
5XR8	Flavodoxin
5XRA	Flavodoxin
5MZJ	BRIL
5MZP	BRIL
5N2R	BRIL
5N2S	BRIL
5TUD	BRIL
5W0P	T4-Lysozyme
5X7D	T4-Lysozyme
5X93	T4-Lysozyme
5XPR	T4-Lysozyme
5XSZ	T4-Lysozyme
5NLX	BRIL
5NM2	BRIL
5NM4	BRIL
5WIU	BRIL
5WIV	BRIL
5WQC	Glycogen synthase
5VRA	BRIL
5WS3	Glycogen synthase
5X33	T4-Lysozyme
6AQF	BRIL
5OLG	BRIL
5OLH	BRIL
5OLO	BRIL
5OLV	BRIL
5OLZ	BRIL
5OM1	BRIL
5OM4	BRIL
5YQZ	T4-Lysozyme
6B73	BRIL
5V54	BRIL
6BQG	BRIL
6BQH	BRIL
5WF5	T4-Lysozyme
5WF6	T4-Lysozyme
6FFH	T4-Lysozyme
6FFI	T4-Lysozyme
6CM4	T4-Lysozyme
5ZBH	T4-Lysozyme
5ZBQ	T4-Lysozyme
5KW2	T4-Lysozyme
6GDG	TrxA
6D32	BRIL
6D35	BRIL
6C1Q	BRIL
6C1R	BRIL
5ZKP	Flavodoxin
5ZKQ	T4-Lysozyme
6CMO	BRIL
5XJM	BRIL
6BD4	Rubredoxin
6DRX	BRIL
6DRY	BRIL
6DRZ	BRIL
6DS0	BRIL
6D26	T4-Lysozyme
6D27	T4-Lysozyme
6H7J	Thioredoxin 1
6H7L	Thioredoxin 1
6H7M	Thioredoxin 1
6H7N	Thioredoxin 1
6H7O	Thioredoxin 1
6AKX	Rubredoxin
6AKY	Rubredoxin
6MXT	T4-Lysozyme
5YC8	BRIL
5ZK3	BRIL
5ZK8	BRIL
5ZKB	BRIL
5ZKC	BRIL
6FJ3	GlgA glycogen synthase
6IGK	T4-Lysozyme
6IGL	T4-Lysozyme
5ZHP	T4-Lysozyme
6AK3	BRIL
6M9T	T4-Lysozyme
6E59	GlgA glycogen synthase
6IIU	Rubredoxin
6IIV	Rubredoxin
6GPS	Rubredoxin
6GPX	Rubredoxin
6IBL	Thioredoxin 1
6HLL	GlgA glycogen synthase
6HLO	GlgA glycogen synthase
6HLP	GlgA glycogen synthase
5ZTY	T4-Lysozyme
6DO1	BRIL
6A93	BRIL
6A94	BRIL
6J20	T4-Lysozyme
6J21	T4-Lysozyme
6ME2	GlgA glycogen synthase
6ME3	GlgA glycogen synthase
6ME4	GlgA glycogen synthase
6ME5	GlgA glycogen synthase
6ME6	Rubredoxin
6ME7	Rubredoxin
6ME8	Rubredoxin
6ME9	Rubredoxin
6MH8	BRIL
6E67	T4-Lysozyme
6GT3	BRIL
6N48	T4-Lysozyme
6K1Q	T4-Lysozyme
6QZH	Sialidase NanA
6KQI	GlgA glycogen synthase
6JZH	BRIL
6RZ4	BRIL
6RZ5	BRIL
6KJV	T4-Lysozyme
6KK1	T4-Lysozyme
6KK7	T4-Lysozyme
6PRZ	T4-Lysozyme
6PS0	T4-Lysozyme
6PS1	T4-Lysozyme
6PS2	T4-Lysozyme
6PS3	T4-Lysozyme
6PS4	T4-Lysozyme
6PS5	T4-Lysozyme
6PS6	T4-Lysozyme
6PS7	BRIL
6PS8	GlgA glycogen synthase
6IQL	BRIL
6KUW	GlgA glycogen synthase
6KUX	BRIL
6KUY	BRIL
6OL9	T4-Lysozyme
6PT2	BRIL
6PT3	BRIL
6RZ6	BRIL
6RZ7	BRIL
6RZ8	BRIL
6RZ9	BRIL
6TPG	GlgA glycogen synthase
6TPJ	GlgA glycogen synthase
6TPN	GlgA glycogen synthase
6JOD	BRIL
6KNM	Rubredoxin
6KPC	T4-Lysozyme
6LRY	T4-Lysozyme
6OS0	BRIL
6OS1	BRIL
6OS2	BRIL
6LI0	Flavodoxin
6LI1	Flavodoxin
6LI2	Rubredoxin
6LUQ	T4-Lysozyme
6KP6	GlgA glycogen synthase
6LW5	BRIL
6OBA	T4-Lysozyme
6K41	T4-Lysozyme
6K42	T4-Lysozyme
6W25	GlgA glycogen synthase
6VMS	T4-Lysozyme
6WJC	T4-Lysozyme
6S0L	BRIL
6S0Q	BRIL
6V9S	GlgA glycogen synthase
7C61	BRIL
7C6A	BRIL
6TPK	GlgA glycogen synthase
6KO5	BRIL
6WW2	BRIL
6LFL	GlgA glycogen synthase
7BW0	BRIL
6ZDR	BRIL
6ZDV	BRIL
6WGT	BRIL
6WH4	BRIL
6WHA	BRIL
7BR3	GlgA glycogen synthase
6WQA	BRIL
6LPJ	BRIL
6LPK	BRIL
6LPL	BRIL
7BTS	T4-Lysozyme
7BU6	T4-Lysozyme
7BU7	T4-Lysozyme
7BVQ	T4-Lysozyme
7DFP	BRIL
7DDZ	Flavodoxin
6YVR	DARPin D12
6Z4Q	DARPin D12
6Z4S	DARPin D12
6Z4V	DARPin D12
6Z66	DARPin D12
6Z8N	DARPin D12
6ZA8	DARPin D12
6ZIN	DARPin D12
7K15	Flavodoxin
7CMU	BRIL
7CMV	BRIL
7ARO	BRIL
7EPE	Flavodoxin
7EPF	Flavodoxin
7F1T	Rubredoxin
7EXD	BRIL
7M8W	T4-Lysozyme
7P2L	T4-Lysozyme
7RM5	BRIL
6ZFZ	T4-Lysozyme
6ZG4	T4-Lysozyme
6ZG9	T4-Lysozyme
7F8U	T4-Lysozyme
7F8Y	T4-Lysozyme
7S8M	BRIL
7S8O	BRIL
7S8P	BRIL
7V3Z	Flavodoxin
7VOD	BRIL
7VOE	BRIL
7VUG	Xylanase
7VUH	Xylanase
7VUI	Xylanase
7VUJ	Xylanase
7F8X	T4-Lysozyme
7B6W	DARPin D12
7WC4	BRIL
7WC5	BRIL
7WC6	BRIL
7WC7	BRIL
7WC8	BRIL
7WC9	BRIL
7F83	BRIL
7JNI	BRIL
7PX4	BRIL
7PYR	BRIL
7WVV	BRIL
7WVW	BRIL
7WVX	BRIL
7WVY	BRIL
7SBF	BRIL
7EZC	BRIL
7TUY	BRIL
7FEE	GlgA glycogen synthase
7ZI0	BRIL
7XT8	BRIL
7XT9	BRIL
7XTA	BRIL
7UM4	PGS
7XTB	BRIL
7XTC	BRIL
7SUS	Rubredoxin
7W0L	BRIL
7W0M	BRIL
7W0N	BRIL
7W0O	BRIL
7W0P	BRIL
7WJ5	BRIL
7Y12	BRIL
7Y13	BRIL
7Y14	BRIL
7Y15	BRIL
8DCR	T4-Lysozyme
8DCS	T4-Lysozyme
7XN9	xylanase
7XNA	xylanase
7YXA	BRIL
7T32	BRIL
8CU6	BRIL
8CU7	BRIL
8DU3	BRIL
8CXO	GlgA glycogen synthase
7XZ5	BRIL
7XZ6	BRIL
7F61	BRIL
7PP1	BRIL
7T2G	BRIL
7X5H	BRIL
7XP4	Endoglucanase H
7XP5	Endoglucanase H
7XP6	Endoglucanase H
8FYN	BRIL
8GNE	BRIL
8GY7	BRIL
8HS2	BRIL
8HS3	BRIL
8HSC	BRIL
7W41	GlgA glycogen synthase
7YIT	BRIL
8IRS	BRIL
8IBV	BRIL
8HJ5	BRIL
7XK9	T4-Lysozyme
7XKA	T4-Lysozyme
7ZLY	BRIL
7ZL9	BRIL
8CIC	BRIL
7XWO	BRIL
7XY7	BRIL
8IBU	BRIL
8IRV	BRIL
8IRT	BRIL
7XY6	BRIL
8C9W	BRIL
8JWY	T4-Lysozyme
8JWZ	T4-Lysozyme
8THK	T4-Lysozyme
8THL	T4-Lysozyme
8A2O	BRIL
8A2P	BRIL
8HQE	BRIL
8HQM	BRIL
8HQN	BRIL
8HVI	BRIL
8IHB	BRIL
8IHF	BRIL
8IHH	BRIL
8IHI	BRIL
8IHJ	BRIL
8IHK	BRIL
8J46	BRIL
8JJ8	BRIL
8JJL	BRIL
8JJO	BRIL
8JLJ	BRIL
8JLN	BRIL
8JLQ	BRIL
8JLR	BRIL
8JMT	BRIL
8JSO	BRIL
8K2W	BRIL
8K2X	BRIL
8PWN	BRIL
8TB7	BRIL
8W77	BRIL
8W8B	BRIL
8W8Q	BRIL
