P08908 5ht1a_human
O75084 fzd7_human
Q9H461 fzd8_human
O00144 fzd9_human
Q9ULW2 fzd10_human
Q99835 smo_human
Q5VW38 gp107_human
Q96N19 g137a_human
Q8TCB6 o51e1_human
Q86W33 tpra1_human
P51810 gp143_human
Q5UAW9 gp157_human
G3V6N6 g3v6n6_rat
Q5C8U8 q5c8u8_danre
I0B8N6 i0b8n6_antmr
B0LRC2 b0lrc2_parol
M3YK47 m3yk47_muspf
Q5MTN6 5ht2a_drome
C8YY84 c8yy84_morvi
S5TZ82 s5tz82_anofi
H0WY86 h0wy86_otoga
Q3UVX5 grm5_mouse
G1P6A2 g1p6a2_myolu
Q9GK74 npy2r_macmu
E9Q4B3 e9q4b3_mouse
S4UUM2 s4uum2_fulga
S4UU63 s4uu63_fulga
Q9BG46 q9bg46_tamte
A0A0A7EWV7 a0a0a7ewv7_boumi
Q9TT96 adrb1_bovin
G1EG13 g1eg10_pashi
F6Q9B0 f6q9b0_horse
D7PCY4 d7pcy4_percr
Q9BDS8 ccr3_macfa
F2XH88 f2xh88_9gobi
A0A023Y9T5 a0a023y9t5_otoga
B9TS15 b9ts15_9tele
R4JL40 r4jl40_9neob
A0A0G2KB62 a0a0g2kb62_rat
R4LDX3 r4ldx3_phoph
H9EUW9 h9euw9_macmu
K4K4B7 k4k4b7_utast
B8QCN4 b8qcn4_hetpl
P30993 c5ar1_mouse
B1WAT2 b1wat2_xentr
G1NIZ2 g1niz2_melga
Q60808 crfr2_mouse
Q19BK7 q19bk7_sheep
D0V0N5 d0v0n5_eotme
F8R8S6 f8r8s6_9neob
I3MFE7 i3mfe7_icttr
B0CLZ0 b0clz0_danre
E1BLD8 e1bld8_bovin
U3JRI5 u3jri5_fical
K4GR56 k4gr56_9saur
B4Z6S1 b4z6s1_9pass
C5HF34 c5hf34_macag
G8JCA4 g8jca4_9tele
G5CVP6 g5cvp6_jacja
K7BE52 k7be52_pantr
Q5G6P8 q5g6p8_ptepa
F1N6V5 f1n6v5_bovin
A8DB88 a8db88_bubca
Q9BFX4 q9bfx4_hipam
G1P591 g1p591_myolu
G3SLK3 g3slk3_loxaf
Q8K0H0 gpc5c_mouse
Q0V8J0 q0v8j0_bovin
A0A0A7EVF8 a0a0a7evf8_9cich
A0A0D9SAA6 a0a0d9saa6_chlsb
B6ZGR0 b6zgr0_musco
A2AR99 a2ar99_mouse
G4WDW6 g4wdw6_fejli
H9F0X1 h9f0x1_macmu
U3J6E6 u3j6e6_anapl
Q14BW0 q14bw0_mouse
Q6DCT4 q6dct4_xenla
A0A0C5PN99 a0a0c5pn99_9chir
F7C4P6 f7c4p6_horse
Q80UB5 q80ub5_mouse
F6S8I2 f6s8i2_ornan
G8JC92 g8jc92_9tele
E9KVZ4 e9kvz4_9saur
X2CCT5 x2cct5_macne
W8VX40 w8vx40_oryla
D2HGN0 d2hgn0_ailme
E4WMB5 e4wmb5_sheep
F7ELG3 f7elg3_xentr
B9TRZ6 b9trz6_9tele
K4GR22 k4gr22_boaco
M3W927 m3w927_felca
G1S5M1 g1s5m1_nomle
K7J2F4 k7j2f4_nasvi
B4Z6R0 b4z6r0_sarpa
K4GTS3 k4gts3_9saur
H0XZX8 h0xzx8_otoga
F1NK21 c5hv41_chick
K4GTP0 k4gtp0_botas
G1U552 g1u552_rabit
U5TY31 u5ty31_9euth
H2QIP2 h2qip2_pantr
G8JC81 g8jc81_9tele
G3RPJ7 g3rpj7_gorgo
A0A076ML40 a0a076ml40_plelo
W5NSY0 w5nsy0_sheep
B4Z6H3 b4z6h3_colcu
A0A096NER8 a0a096ner8_papan
Q9BFC5 q9bfc5_canfa
A9LS73 a9ls73_ochpr
K4HGJ3 k4hgj3_cteis
F1QDV5 f1qdv5_danre
G5CVL7 g5cvl7_chras
A0A0D9RQC8 a0a0d9rqc8_chlsb
B2RUD4 b2rud4_mouse
A0A0D9SCD1 a0a0d9scd1_chlsb
D7PQZ6 d7pqz6_phovi
P56490 acm5_macmu
O09088 c5ar1_rat
Q5MT58 5ht2b_drome
Q646D7 t2r10_panpa
U5U135 u5u135_crobr
F6QJI5 f6qji5_horse
B8Q4Z8 b8q4z8_pig
K4GRA0 k4gra0_varac
F6SFC1 f6sfc1_mondo
K4GQY8 k4gqy8_latco
Q80ZA8 q80za8_rat
Q9Z0Z6 agtr2_merun
H7BRW3 h7brw3_9tele
F7C038 f7c038_calja
C5H7Z4 c5h7z4_ptepu
E9PVC1 e9pvc1_mouse
A0A096N764 a0a096n764_papan
J7FIB2 j7fib2_9pass
H0VZI4 h0vzi4_cavpo
G1NQX8 g1nqx8_melga
P79172 cxcr4_felca
Q2YEG3 cxcr1_gorgo
D9MN88 d9mn88_9chir
O18914 opsr_canfa
A0A0C5L0I9 a0a0c5l0i9_ampse
G1STC8 g1stc8_rabit
Q5G6L8 q5g6l8_crath
Q80T46 gpr21_mouse
M3WSD3 m3wsd3_felca
U3CVS9 u3cvs9_calja
W8SLR6 w8slr6_9saur
Q5MBX0 q5mbx0_colli
B7TVL5 b7tvl5_perpl
F7A0J4 f7a0j4_mondo
H2ULF8 h2ulf8_takru
G3UGY6 g3ugy6_loxaf
G1KXM3 g1kxm3_anoca
C5H7X3 c5h7x3_9chir
Q4LDM8 lphn3_rat
C5HF35 c5hf35_macru
D6BND1 d6bnd1_pig
Q80XQ0 pkr2_mouse
M3Y190 m3y190_muspf
Q9TUW1 q9tuw1_9prim
Q4L192 q4l192_dicla
A0A0D9S3P4 a0a0d9s3p4_chlsb
F7G5S2 f7g5s2_mondo
G3M764 g3m764_gramu
M3WBJ6 m3wbj6_felca
H9GVM4 h9gvm4_anoca
F1S112 f1s112_pig
G1RVF5 g1rvf5_nomle
Q6TLI9 drd2_muspf
G1QPI6 g1qpi6_nomle
G1NE01 g1ne01_melga
A7MAX5 tr143_mouse
F6RAP8 f6rap8_ornan
G1LJH2 g1ljh2_ailme
D9YL55 d9yl55_9neob
F7H567 f7h567_calja
Q6NS65 gpr17_mouse
P30554 mas_mouse
Q9DC35 s1pr1_mouse
D9YL83 d9yl83_9neob
D9MN68 d9mn68_ptegi
W6CAF4 w6caf4_zoovi
Q2M499 mshr_pig
K7BJ86 k7bj86_pantr
G1SUU9 g1suu9_rabit
H6BFN7 h6bfn7_cteme
A8QXQ9 a8qxq9_balac
F6UJ01 f6uj01_xentr
Q9IB86 calrl_parol
H7BRY6 h7bry6_9tele
Q9BFD0 q9bfd0_cersi
H2B5P6 h2b5p6_lepca
Q9Z2R4 celr2_mouse
W5P9X9 w5p9x9_sheep
F6V8L4 f6v8l4_ornan
K7F4R3 k7f4r3_pelsi
K4EJE4 k4eje4_9rode
H7BRV0 h7brv0_9tele
Q8UUP7 5ht2b_tetfl
G3RFA5 g3rfa5_gorgo
G3VDF6 g3vdf6_sarha
Q861S1 q861s1_pig
A0A0E3IRD7 a0a0e3ird7_9euth
B2RVY4 adrb1_mouse
A0A059UD76 a0a059ud76_9pass
F6R9Y2 f6r9y2_macmu
F1SJM9 f1sjm9_pig
G3R8I4 g3r8i4_gorgo
Q8VIN5 oprm_mouse
T1QUJ7 t1quj7_citln
R4L866 r4l866_berbi
P47936 cnr2_mouse
I7C7X0 i7c7x0_9cich
W0B412 w0b412_9saur
A0A0C9RY41 a0a0c9ry41_9hyme
Q2MHJ8 q2mhj8_takru
H2QMH6 h2qmh6_pantr
A0A059V718 a0a059v718_bosin
D9YL70 d9yl70_9neob
B9VHJ7 b9vhj7_leute
I0CJV2 i0cjv2_9tele
Q8C224 gp157_mouse
F6X9F0 f6x9f0_macmu
C5HF63 c5hf63_zalca
A0A0D9QYF1 a0a0d9qyf1_chlsb
M3Z8D2 m3z8d2_muspf
K4GRF8 k4grf8_9saur
B2CL09 b2cl09_chick
K7GRB6 k7grb6_pig
Q9XT12 q9xt12_cerne
V8PAU0 v8pau0_ophha
B7TVN2 b7tvn2_perma
A9RA76 a9ra76_papan
H2V200 h2v200_takru
H0YXG3 h0yxg3_taegu
K7GR32 k7gr32_pig
M3XL82 m3xl82_latch
J9P639 j9p639_canfa
Q9YH05 opsd_dipan
A5JTY3 a5jty3_lopny
F1NEY2 f1ney2_chick
C0KV41 c0kv41_pantr
U3JUC6 u3juc6_fical
Q09J54 q09j54_macmu
F6KWD9 f6kwd9_epico
U3KIV6 u3kiv6_fical
P31389 hrh1_cavpo
W5Q2I0 w5q2i0_sheep
E1BSU6 e1bsu6_chick
G9L877 g9l877_mesau
Q801F2 q801f2_takru
M3VYF5 m3vyf5_felca
B0LJU2 b0lju2_pasaf
I3LGG4 i3lgg4_pig
A0A089FHQ3 a0a089fhq3_9saur
C0KUP0 c0kup0_pantr
A8CUM2 a8cum2_9neob
R9TKA9 r9tka9_9saur
F1MXG2 f1mxg2_bovin
H0XTS1 h0xts1_otoga
P51680 ccr4_mouse
E3V2E7 e3v2e7_macfa
G1RFL5 g1rfl5_nomle
G3X3G4 g3x3g4_sarha
H2BII5 h2bii5_9tele
K4GTL8 k4gtl8_9saur
I3N5N6 i3n5n6_icttr
Q925R4 nk3r_cavpo
Q8HXX3 mc4r_macfa
F7CIS3 f7cis3_mondo
Q3TVP3 par1_mouse
H0VE83 h0ve83_cavpo
U3JDM9 u3jdm9_fical
Q67ET0 ta2r4_rat
J9TAH0 j9tah0_9saur
F1NGG4 f1ngg4_chick
F2XH79 f2xh79_ambst
G1KFJ2 g1kfj2_anoca
S4R5Z7 s4r5z7_petma
W5ZYB5 w5zyb5_9sala
F2Y933 f2y933_mesde
I3MG10 i3mg10_icttr
H0WMF2 h0wmf2_otoga
A0A0D9S2B0 a0a0d9s2b0_chlsb
F6WB19 f6wb19_mondo
G8ENV8 g8env8_9pass
F2Y518 f2y518_mosmo
Q6QZS0 q6qzs0_brabn
I3XHQ6 i3xhq6_chick
F7EI33 f7ei33_mondo
G1EFY6 g1efz9_pasdo
G1EG41 g1eg41_9pase
I3Y3E5 i3y3e5_agats
A5X7H4 a5x7h4_9carn
G1QXU0 g1qxu0_nomle
A4IIF4 a4iif4_xentr
F7GB48 f7gb48_ornan
F6T6U1 f6t6u1_mondo
Q5Y4Z7 t2r46_panpa
G3UPU3 g3upu3_melga
A0A0G2JH05 a0a0g2jh05_mouse
X2CCW7 x2ccw7_macfa
F1R3B8 f1r3b8_danre
Q6VVV0 5ht1b_canfa
B5U8Y5 b5u8y5_bovin
Q6B964 grm8_mouse
K7EZC4 k7ezc4_pelsi
Q9R251 q9r251_rat
H3BDB5 h3bdb5_latch
A0A0A7EWW3 a0a0a7eww3_9cich
Q645U9 t2r42_ponpy
H3CWE8 h3cwe8_tetng
G5CVW2 g5cvw2_phoph
G3M6B7 g3m6b7_psecu
C1PI29 c1pi29_bovin
Q64183 fshr_rat
H2UF69 h2uf69_takru
K4K4C6 k4k4c6_utast
J7M7M0 j7m7m0_pantr
U3DEU7 u3deu7_calja
G8EW88 g8ew88_9tele
V9QLR2 v9qlr2_9saur
H0VVQ0 h0vvq0_cavpo
J9Q1X6 j9q1x6_turtr
C5HF31 c5hf31_macfa
W5ZYC6 w5zyc6_salsl
W5Q178 w5q178_sheep
G9CTS8 g9cts8_tappi
Q5U431 gpr39_mouse
Q58TG8 q58tg8_9gobi
J7MDZ6 j7mdz6_pantr
H7BS73 h7bs73_9tele
W5UC29 w5uc29_ictpu
F1QFE4 f1qfe4_danre
G3M6C6 g3m6c6_elema
K7EZ17 k7ez17_pelsi
A0A0D9SCS4 a0a0d9scs4_chlsb
G3SIC0 g3sic0_gorgo
O77833 o77833_certr
H2NEG6 h2neg6_ponab
V9PW91 v9pw91_9neob
C5H7Z5 c5h7z5_ptero
A0A096NQ44 a0a096nq44_papan
P17200 acm4_chick
P79903 opsd_sarsp
G1PF33 g1pf33_myolu
F6Z397 f6z397_xentr
T2EUA7 t2eua7_9pass
H6BFM9 h6bfm9_ctebo
F7IMQ6 f7imq6_calja
G1S9D2 g1s9d2_nomle
Q9BFG9 q9bfg9_didvi
Q646C4 ta2r7_pantr
F1PZX8 e2rq21_canfa
Q4VHF0 t2r38_mouse
A0A0D9R057 a0a0d9r057_chlsb
K7G397 k7g397_pelsi
Q8BLG2 lpar4_mouse
A8CUD1 a8cud1_9neob
E9GAE8 e9gae8_dappu
A3KF72 a3kf72_macne
G3WB70 g3wb70_sarha
C8C9T8 c8c9t8_neovi
G3TRY0 g3try0_loxaf
F7VJP9 f7vjp9_ponab
Q7TQP2 gp135_mouse
H0XEL3 h0xel3_otoga
F1NUG1 b0fmv6_chick
A8WDA2 a8wda2_9tele
G8ENT6 g8ent6_9pass
A0A0A0MX16 a0a0a0mx16_papan
Q8BXA3 gp149_mouse
W5P6X6 w5p6x6_sheep
F7C1J6 f7c1j6_ornan
Q0W9D1 q0w9d1_9hyst
F6R303 f6r303_ornan
G5EII1 g5eii1_takru
K4HGJ7 k4hgj7_9saur
E1C8V5 e1c8v5_chick
U6DWZ5 u6dwz5_neovi
G1P2B3 g1p2b3_myolu
F6ZQY5 f6zqy5_calja
J9WK68 j9wk68_anodd
H9G725 h9g725_anoca
C8YUV0 ffar4_macfa
T1QVK6 t1qvk6_9tele
Q5WRU6 5ht2c_mouse
Q7TS82 fzd1_mouse
Q6E128 q6e128_9pass
A3KF94 mshr_macsl
Q924I3 ackr4_mouse
E1BCZ7 e1bcz7_bovin
A7MBX2 a7mbx2_danre
J7LGP6 j7lgp6_9saur
G1R888 g1r888_nomle
G1Q373 g1q373_myolu
F7BGR2 f7bgr2_horse
Q3MHJ3 cxcr4_bovin
H2QRX4 h2qrx4_pantr
V8PEH7 v8peh7_ophha
Q7TSX4 q7tsx4_rat
F7FG96 f7fg96_calja
G1S0Q3 g1s0q3_nomle
H2QLM6 h2qlm6_pantr
M3WTQ3 m3wtq3_felca
K4GTP2 k4gtp2_9saur
H2QTG3 h2qtg3_pantr
M4B0S5 m4b0s5_xipma
Q49SQ5 gpr33_pantr
F7GYJ1 f7gyj1_macmu
F6KXF9 f6kxf9_sheep
E9KVY8 e9kvy8_chaoe
Q90Y73 q90y73_9tele
G1T382 g1t382_rabit
M3Y2G5 m3y2g5_muspf
Q58TE8 q58te8_9gobi
I3MFA9 i3mfa9_icttr
A0A096NTI4 a0a096nti4_papan
E7BRK5 e7brk5_9tele
M3W1C0 m3w1c0_felca
F1MPN9 f1mpn9_bovin
A2TAE5 a2tae5_ambme
K4GR37 k4gr37_9saur
Q864J1 mshr_mansp
Q9BFD5 q9bfd5_hipam
H0WYK7 h0wyk7_otoga
Q9BFG3 q9bfg3_myrtr
H2R5E1 h2r5e1_pantr
E7FCX8 e7fcx8_danre
D2HCI8 d2hci8_ailme
H0YTE5 h0yte5_taegu
G3PX66 g3px66_gasac
I3N3A8 i3n3a8_icttr
W5NMT0 w5nmt0_lepoc
H2NAP5 h2nap5_ponab
F7A6S8 f7a6s8_horse
P49660 ssr4_mouse
F7ILX3 f7ilx3_calja
K4K493 k4k493_utast
G3M7W2 g3m7w2_spaeh
F2Y4R0 f2y4r0_delca
B8Y5Y5 b8y5y5_melga
H2R6Z5 h2r6z5_pantr
A5X7H8 a5x7h8_procn
H2N488 h2n488_ponab
A0A075DDC1 a0a075ddc1_colli
D2H406 d2h406_ailme
Q9QYN7 hrh3_rat
F6XEE9 f6xee9_xentr
H0ZRP5 h0zrp5_taegu
T1QUQ2 t1quq2_9pleu
V8N2Q1 v8n2q1_ophha
Q9MZQ2 q9mzq2_rhiro
I3NBK3 i3nbk3_icttr
M3Y5T5 m3y5t5_muspf
F1NPK9 b2bjc3_chick
O88921 agrl2_rat
G8ENV5 g8env5_9pass
K4GQS7 k4gqs7_varea
F7BPS2 f7bps2_mondo
F7DPM1 f7dpm1_mondo
K4GTQ3 k4gtq3_plefs
F1LLX2 f1llx2_rat
D8V3C5 d8v3c5_bubbu
E1BVU0 e1bvu0_chick
G5EI90 g5ei90_rugru
A0A091VU13 a0a091vu13_nipni
H3BA31 h3ba31_latch
Q92158 agtr1_melga
I3N9Y5 i3n9y5_icttr
Q8MHV6 q8mhv6_ochpr
B8QCQ2 b8qcq2_tribi
H0VW56 h0vw56_cavpo
O60835 cxcr4_pantr
A8CUC3 a8cuc3_amire
G3VUX6 g3vux6_sarha
H1A3F9 h1a3f9_taegu
Q684P8 q684p8_canfa
F6VNG8 f6vng8_macmu
L7N3N6 l7n3n6_xentr
B9TRX6 b9trx6_9tele
Q9N2D8 q9n2d8_9prim
A2AHI2 gp173_mouse
F6RAL4 f6ral4_calja
G1MVG3 g1mvg3_melga
D8L643 d8l643_aotaz
Q864J2 mshr_papha
K4GQS9 k4gqs9_geoac
U3I706 u3i706_anapl
S4UWJ4 s4uwj4_fulga
H9FC42 h9fc42_macmu
Q09J46 q09j46_macmu
Q91XR1 q91xr1_cavpo
B8Y9A9 b8y9a9_vicpa
H0V741 h0v741_cavpo
A0A0G2JYX7 a0a0g2jyx7_rat
O97809 agrl2_bovin
H2QNL8 h2qnl8_pantr
C1PHZ2 c1phz2_bovin
O18982 gpr15_chlae
P50132 gpr4_pig
H7BRZ3 h7brz3_9tele
F6R3G7 f6r3g7_xentr
M3YS79 m3ys79_muspf
Q6W9C3 q6w9c3_ochpr
K4K748 k4k748_utast
K7F1I7 k7f1i7_pelsi
K4GUW3 k4guw3_lacvr
M3YQC3 m3yqc3_muspf
D8V2C1 d8v2c1_9neob
A0A0A7JTC9 a0a0a7jtc9_hipam
A0A059VEJ6 a0a059vej6_9saur
H0VYL9 h0vyl9_cavpo
A2BCY0 a2bcy0_canfa
H2PWI9 h2pwi9_ponab
A0A0D9SCT0 a0a0d9sct0_chlsb
H0WBT8 h0wbt8_cavpo
H3AHI5 h3ahi5_latch
A8CU33 a8cu33_9neob
F6WPR9 f6wpr9_horse
G1TTZ2 g1ttz2_rabit
G1PXW6 g1pxw6_myolu
H2B5P4 h2b5p4_lepcr
A9NJI7 a9nji7_danre
